lng,lat
-76.982160,-12.125105
-77.000141,-12.126912
-73.262800,-3.949960
-75.726660,-14.070758
-73.256747,-3.736101
-73.246703,-3.741078
-73.459349,-3.817962
0.000000,0.000000
-73.249802,-3.754309
-73.241693,-3.746495
-73.251095,-3.749146
-71.531567,-16.443845
-73.251237,-3.758801
-73.255387,-3.738347
-73.252786,-3.763273
0.000000,0.000000
-73.255387,-3.738347
-74.176012,-5.459719
-73.249020,-3.747596
-73.256747,-3.736101
-73.247421,-3.747288
-73.396154,-3.941209
-73.241693,-3.746495
-73.246328,-3.751571
-73.246703,-3.741078
-73.235927,-3.648559
-73.243881,-3.747842
-75.316121,-11.918493
0.000000,0.000000
-73.251798,-3.750997
-73.252216,-3.747878
-71.496892,-16.337642
-71.496892,-16.337642
-71.496892,-16.337642
0.000000,0.000000
-75.981100,-5.616358
-71.513849,-16.376155
-71.496892,-16.337642
-71.496892,-16.337642
-79.830392,-6.758561
-79.843308,-6.758606
-79.841860,-6.756762
-79.842005,-6.761456
-79.841860,-6.756762
-79.832781,-6.751911
-79.842410,-6.752621
-79.829535,-6.746598
-79.847560,-6.750986
-79.846079,-6.745506
-79.835827,-6.760579
0.000000,0.000000
-74.215426,-13.029884
-74.000000,-14.000000
-74.283660,-15.277662
0.000000,0.000000
-74.000000,-14.000000
-74.216861,-13.164901
-74.000000,-14.000000
-74.000000,-14.000000
-74.553517,-12.360867
-73.735262,-14.152242
-73.527442,-12.938170
-74.000000,-14.000000
-70.249611,-18.013775
-74.329931,-12.707415
-74.215426,-13.029884
-74.000000,-14.000000
-74.000000,-14.000000
-74.227914,-13.149183
-74.000000,-14.000000
-74.000000,-14.000000
-77.019074,-11.988305
-74.000000,-14.000000
-78.510540,-7.157027
-74.000000,-14.000000
