index,reclat,reclong
579,-17.103078,-71.907048
580,0.000000,0.000000
581,-11.960247,-77.005447
582,-6.265595,-76.507365
583,-6.418788,-76.518328
584,0.000000,0.000000
585,-6.761702,-79.839483
586,-14.066614,-75.742888
587,-14.066614,-75.742888
588,-12.096094,-77.031566
589,-12.092290,-77.025676
590,-12.094775,-77.023775
591,-12.094062,-77.048211
592,-12.094062,-77.048211
593,0.000000,0.000000
594,-12.094631,-77.031201
595,-17.876852,-70.989701
596,-17.876852,-70.989701
597,-16.324028,-71.545835
598,-12.098209,-77.028069
599,-12.092290,-77.025676
600,-16.407849,-71.562634
601,-16.408200,-71.542985
602,0.000000,0.000000
603,-17.876852,-70.989701
604,-12.056014,-77.077621
605,-16.423314,-71.512396
606,-12.106764,-77.040806
607,-12.086465,-76.984267
608,-12.091147,-77.019035
609,-12.086465,-76.984267
610,-12.085163,-77.048635
611,-12.107205,-77.052133
612,-14.075809,-75.728454
613,-13.258419,-72.268328
614,-12.099729,-77.021211
615,-12.107205,-77.052133
616,-12.103895,-77.046166
617,0.000000,0.000000
618,0.000000,0.000000
619,-12.113857,-77.011782
620,-11.994205,-77.065181
621,-12.093434,-77.025815
622,-12.095434,-77.023316
623,-12.097223,-77.026935
624,-12.096094,-77.031566
625,-12.086465,-76.984267
626,0.000000,0.000000
627,-12.047557,-75.217014
628,-12.086465,-76.984267
629,-12.086465,-76.984267
630,-12.086465,-76.984267
631,-12.086465,-76.984267
632,-12.131837,-77.029980
633,-16.423314,-71.512396
634,-14.064057,-75.724535
635,-12.135864,-77.017726
636,-12.096094,-77.031566
637,-11.993813,-77.061147
638,-14.066614,-75.742888
639,-12.089618,-77.053979
640,-4.250793,-81.231111
641,-12.107205,-77.052133
642,-12.094154,-77.027800
643,0.000000,0.000000
644,-12.098209,-77.028069
645,0.000000,0.000000
646,0.000000,0.000000
647,0.000000,0.000000
648,-15.486047,-70.123996
649,0.000000,0.000000
650,-15.492588,-70.127070
651,-15.488677,-70.145894
652,-15.486047,-70.123996
653,-15.485492,-70.130928
654,-14.323684,-69.465086
655,0.000000,0.000000
656,-15.492606,-70.146481
657,-15.491594,-70.132216
658,-15.477566,-70.120510
659,-15.492571,-70.147524
660,-15.487675,-70.153700
661,-15.489214,-70.143747
662,-15.491594,-70.132216
663,-15.485948,-70.114826
664,-15.500910,-70.150814
665,0.000000,0.000000
666,-15.485492,-70.130928
667,0.000000,0.000000
668,0.000000,0.000000
669,-15.489924,-70.131410
670,-15.498932,-70.146549
671,0.000000,0.000000
672,-15.472232,-70.136353
673,-15.538462,-70.102403
674,-15.484201,-70.112884
675,-15.500182,-70.143567
676,-15.495373,-70.132479
677,-15.486047,-70.123996
678,-9.525582,-77.522693
679,0.000000,0.000000
680,-10.747765,-77.764486
681,0.000000,0.000000
682,-9.537592,-77.524556
683,-9.525975,-77.531166
684,-9.525494,-77.536087
685,-9.525441,-77.523291
686,0.000000,0.000000
687,0.000000,0.000000
688,-9.525975,-77.531166
689,0.000000,0.000000
690,-9.656389,-77.843313
691,-9.525975,-77.531166
692,-10.747765,-77.764486
693,0.000000,0.000000
694,0.000000,0.000000
695,0.000000,0.000000
696,-9.529749,-77.526733
697,-9.525494,-77.536087
698,-9.611843,-77.495242
699,-9.538571,-77.524050
700,-9.529851,-77.528998
701,-9.524833,-77.527847
702,-14.067647,-75.725662
703,-12.091515,-77.059827
704,0.000000,0.000000
705,0.000000,0.000000
706,-12.091515,-77.059827
707,0.000000,0.000000
708,-12.091919,-77.053725
709,0.000000,0.000000
710,-12.091112,-77.062025
711,-12.085370,-77.072812
712,0.000000,0.000000
713,0.000000,0.000000
714,0.000000,0.000000
715,-12.095715,-77.068243
716,0.000000,0.000000
717,-12.088989,-77.060557
718,-12.091112,-77.062025
719,0.000000,0.000000
720,-12.087463,-77.071448
721,0.000000,0.000000
722,0.000000,0.000000
723,0.000000,0.000000
724,0.000000,0.000000
725,-12.091112,-77.062025
726,-12.095715,-77.068243
727,-12.098817,-77.068745
728,-11.974245,-77.063391
729,0.000000,0.000000
730,0.000000,0.000000
731,-11.973897,-77.084260
732,-11.981085,-77.083208
733,0.000000,0.000000
734,-13.175166,-74.215003
735,-11.988306,-77.074411
736,0.000000,0.000000
737,-11.965985,-77.073071
738,0.000000,0.000000
739,0.000000,0.000000
740,-11.991965,-77.070935
741,-11.996114,-77.080214
742,-12.005577,-77.062704
743,-11.953187,-77.083354
744,-11.965985,-77.073071
745,-12.007853,-77.069128
746,0.000000,0.000000
747,-11.965985,-77.073071
748,-11.965807,-77.062688
749,-11.972156,-77.076648
750,-11.993414,-77.066378
751,0.000000,0.000000
752,-11.993414,-77.066378
753,0.000000,0.000000
754,-11.944757,-77.081132
755,-11.990495,-77.065839
756,-12.003350,-77.062497
757,-12.007853,-77.069128
758,-16.435823,-71.529791
759,-11.996104,-77.076859
760,-11.938431,-77.073750
761,-11.964790,-77.063534
762,-11.965985,-77.073071
763,-11.993824,-77.079641
764,-11.976275,-77.069297
765,-11.992794,-77.074483
766,-12.092523,-76.943561
767,-11.965985,-77.073071
768,-11.992353,-77.064902
769,-11.965985,-77.073071
770,-12.027193,-76.927047
771,-11.957220,-77.076321
772,-11.991965,-77.070935
773,-13.175166,-74.215003
774,-11.981085,-77.083208
775,-11.972335,-77.069957
776,-12.028246,-77.064496
777,-16.613884,-72.697190
778,0.000000,0.000000
779,-11.981073,-77.108958
780,-12.004812,-77.101779
781,-12.052263,-77.139113
782,-12.048751,-77.128398
783,-11.840089,-77.122051
784,0.000000,0.000000
785,-8.380675,-74.531168
786,0.000000,0.000000
787,-12.044880,-77.102917
788,-12.040164,-77.099249
789,-11.983711,-77.110889
790,-5.200509,-80.621783
791,0.000000,0.000000
792,-12.052263,-77.139113
793,-8.384577,-74.572340
794,-9.469175,-77.834500
795,-12.048751,-77.128398
796,-8.371529,-74.542452
797,0.000000,0.000000
798,-5.200509,-80.621783
799,-12.047690,-77.089673
800,-12.023362,-77.095070
801,-12.007352,-77.100942
802,-12.052913,-77.138164
803,-12.004812,-77.101779
804,-11.992282,-77.116501
805,-8.387148,-74.573596
806,-12.029818,-77.016921
807,-16.445048,-71.552963
808,-8.382184,-74.538754
809,-11.827235,-77.130444
810,-12.033034,-77.137912
811,0.000000,0.000000
812,-9.469175,-77.834500
813,-12.047690,-77.089673
814,0.000000,0.000000
815,-12.044880,-77.102917
816,0.000000,0.000000
817,-12.023829,-77.096903
818,-12.040164,-77.099249
819,-10.728302,-77.775716
820,-10.728302,-77.775716
821,-12.059430,-77.035459
822,0.000000,0.000000
823,-12.023539,-77.010736
824,-12.048406,-77.072931
825,-11.106653,-77.582228
826,-11.106653,-77.582228
827,-10.728302,-77.775716
828,-17.193502,-70.936272
829,-12.058020,-77.039235
830,-12.999961,-75.836901
831,-12.065965,-77.077292
832,-12.058020,-77.039235
833,-12.045693,-77.035116
834,-12.071978,-77.010702
835,-6.932867,-76.771856
836,-12.045693,-77.035116
837,-16.401136,-71.541504
838,-10.728302,-77.775716
839,-12.820980,-76.359426
840,-15.381256,-71.472793
841,-12.047128,-77.061024
842,-11.964825,-77.057662
843,-11.974461,-77.076718
844,-15.381256,-71.472793
845,-9.160638,-77.365627
846,-12.058020,-77.039235
847,0.000000,0.000000
848,-11.958695,-77.002480
849,-12.059430,-77.035459
850,0.000000,0.000000
851,-12.057265,-76.938313
852,-11.921998,-77.071814
853,-12.027997,-77.015679
854,-11.949760,-77.050379
855,-12.046883,-77.068241
856,0.000000,0.000000
857,-11.925895,-77.036957
858,-12.046582,-77.045497
859,-12.050945,-77.011722
860,0.000000,0.000000
861,-12.037066,-77.072253
862,-12.047128,-77.061024
863,-12.071488,-77.037716
864,-12.041684,-77.077055
865,-12.058020,-77.039235
866,-12.041684,-77.077055
867,-10.948221,-77.100194
868,-12.076748,-76.984722
869,-12.076991,-77.030997
870,-12.047128,-77.061024
871,-12.045468,-77.064446
872,-12.064514,-77.072595
873,-11.926188,-77.037333
874,-12.045693,-77.035116
875,0.000000,0.000000
876,-11.974461,-77.076718
877,-16.401136,-71.541504
878,-11.129197,-77.616083
879,-12.006685,-77.082148
880,-12.045575,-77.040997
881,-12.018849,-77.085881
882,-12.019743,-76.955795
883,-11.935218,-77.040955
884,-11.949760,-77.050379
885,-12.045693,-77.035116
886,-12.045693,-77.035116
887,-12.057265,-76.938313
888,-17.193502,-70.936272
889,-11.960089,-77.055215
890,-11.988305,-77.019074
891,0.000000,0.000000
892,-11.945690,-77.050850
893,-12.045693,-77.035116
894,-10.728302,-77.775716
895,-12.058186,-77.075131
896,-12.076845,-77.029331
897,-11.562770,-77.269996
898,-12.080099,-76.991916
899,-12.164783,-77.025227
900,-11.696977,-76.867527
901,-12.057265,-76.938313
902,0.000000,0.000000
903,0.000000,0.000000
904,-12.075233,-76.990595
905,-12.042062,-77.066592
906,-12.043200,-77.067705
907,-12.006481,-77.049847
908,-12.006481,-77.049847
909,-12.006481,-77.049847
910,-12.073491,-77.036537
911,-12.058020,-77.039235
912,-12.006481,-77.049847
913,-11.925895,-77.036957
914,0.000000,0.000000
915,-12.043667,-77.030214
916,-12.043667,-77.030214
917,-12.035851,-77.086616
918,-12.034869,-77.082360
919,-15.053842,-70.277015
920,-12.049935,-77.067007
921,-17.193502,-70.936272
922,-11.988305,-77.019074
923,-12.058020,-77.039235
924,-12.027553,-77.004397
925,-12.029691,-77.090324
926,-12.054305,-77.079283
927,-12.044670,-77.024987
928,-12.041178,-77.007318
929,-12.006481,-77.049847
930,-11.562770,-77.269996
931,-12.078796,-76.986981
932,-17.193502,-70.936272
933,-12.045693,-77.035116
934,-17.193502,-70.936272
935,-12.046820,-77.063275
936,-12.052695,-77.062377
937,-12.006481,-77.049847
938,-12.019743,-76.955795
939,-12.892513,-75.793358
940,-12.042062,-77.066592
941,-12.006481,-77.049847
942,-12.035851,-77.086616
943,-12.058249,-77.024602
944,-12.045693,-77.035116
945,-11.913114,-76.967609
946,-11.129197,-77.616083
947,-12.078804,-77.096267
948,-12.079003,-77.082406
949,-12.068079,-77.094966
950,-12.076906,-77.105610
951,-12.076407,-77.102926
952,-3.632168,-73.202969
953,-8.307262,-74.596482
954,-12.027106,-77.082132
955,0.000000,0.000000
956,-12.031730,-76.963483
957,0.000000,0.000000
958,0.000000,0.000000
959,-6.237499,-78.896390
960,-12.078804,-77.096267
961,-12.065663,-77.100749
962,-12.073672,-77.094274
963,0.000000,0.000000
964,-12.080947,-77.103284
965,-12.076025,-77.085155
966,0.000000,0.000000
967,-12.076830,-77.082477
968,-12.085375,-77.074823
969,-8.086455,-78.959412
970,-12.079600,-77.080411
971,-12.076830,-77.082477
972,-12.086266,-77.086568
973,-12.082438,-77.089083
974,-12.060870,-77.070024
975,-12.157071,-76.987300
976,-12.077318,-77.099862
977,-12.077407,-77.101795
978,0.000000,0.000000
979,-12.078804,-77.096267
980,0.000000,0.000000
981,-12.082002,-77.031612
982,0.000000,0.000000
983,-12.081691,-77.041884
984,-12.082002,-77.031612
985,0.000000,0.000000
986,-12.080490,-77.028613
987,-12.082002,-77.031612
988,-12.082641,-77.037363
989,-12.088195,-77.027487
990,-12.082500,-77.035400
991,0.000000,0.000000
992,0.000000,0.000000
993,0.000000,0.000000
994,-12.084466,-77.033335
995,-12.077548,-77.034359
